date,sp,nasdaq,dow
2026-07-24,7411.98,24975.82,51947.25
2026-07-28,7428.78,24876.91,52747.32
2026-07-29,7316.15,24442.94,51594.14
2026-07-30,7437.63,25122.18,52208.06
2026-07-31,7489.72,25373.85,52485.03
2026-08-03,7600.5,25913.9,53178.41
2026-08-04,7736.52,26584.99,54085.88
2026-08-05,7723.55,26363.44,54349.12
2026-08-06,7709.96,26348.35,53885.1
2026-08-07,7757.64,26690.62,54036.93
2026-08-10,7753.11,26605.36,53975.98
2026-08-11,7728.2,26445.45,53791.85
2026-08-12,7748.5,26588.49,53770.27
2026-08-13,7798.99,26803.03,53839.99
2026-08-14,7785.76,26729.16,53732.41
2026-08-17,7745.06,26644.91,53459.78
2026-08-18,7691.76,26289.71,53343.4
