date,usdkrw
2026-07-25,1463.1
2026-07-27,1461.0
2026-07-29,1456.0
2026-07-30,1445.0
2026-07-31,1426.2
2026-08-01,1446.0
2026-08-04,1431.3
2026-08-05,1430.5
2026-08-06,1423.5
2026-08-07,1424.0
2026-08-08,1411.0
2026-08-10,1411.0
2026-08-11,1419.0
2026-08-12,1413.5
2026-08-13,1419.0
2026-08-14,1420.0
2026-08-15,1418.5
2026-08-17,1418.5
2026-08-18,1417.0
2026-08-19,1413.0
2026-08-20,1390.0
2026-08-21,1395.2
2026-08-22,1388.0
2026-08-25,1384.0
2026-08-26,1383.5
2026-08-27,1386.0
2026-08-28,1382.5
